conversation_start,response
"Hey, what have you been up to?","My day has been pretty good, how about yours?"
"Hi, how's work going?","My day has been pretty good, how about yours?"
"Hi, how are you?","Not much, just relaxing. How about you?"
"Hi, what's new with you?",Yes! It was an intense match!
"Hi, how's work going?","It's sunny and warm here, how about there?"
Hello! What's up?,"Not much, just the usual routine."
"Hi, how's the weather over there?",Yes! It was an intense match!
"Hi, how's the weather over there?","Not yet, I'm still deciding what to do."
Good evening! Any weekend plans?,Yes! It was an intense match!
Good evening! Any weekend plans?,"It's sunny and warm here, how about there?"
"Hi, what's new with you?","I've been busy with work, but all is good."
"Hey, long time no see!","I've been busy with work, but all is good."
Good evening! Any weekend plans?,"Yeah, it's been a while! Good to see you."
"Hi, how are you?","Work's been hectic, but I'm managing."
"Hey, what have you been up to?",Yes! It was an intense match!
"Hello, did you catch the game last night?","Not yet, I'm still deciding what to do."
"Hi, how's work going?","Work's been hectic, but I'm managing."
"Hi, what's new with you?","Not yet, I'm still deciding what to do."
"Hi, how's work going?","It's sunny and warm here, how about there?"
Good morning! How's your day?,"Not much, just relaxing. How about you?"
"Hey, what have you been up to?","I'm doing great, thanks for asking!"
"Hi, how's work going?","Not yet, I'm still deciding what to do."
"Hey, what have you been up to?","Not much, just the usual routine."
"Hello, did you catch the game last night?","I'm doing great, thanks for asking!"
Hello! What's up?,"Not much, just the usual routine."
"Hi, what's new with you?","I've been busy with work, but all is good."
Good evening! Any weekend plans?,"Not much, just the usual routine."
Hello! What's up?,"Work's been hectic, but I'm managing."
Good morning! How's your day?,"I'm doing great, thanks for asking!"
"Hi, what's new with you?","I've been busy with work, but all is good."
Hello! What's up?,"My day has been pretty good, how about yours?"
"Hey, what have you been up to?","Not much, just the usual routine."
"Hi, how's the weather over there?","Not much, just the usual routine."
"Hello, did you catch the game last night?","Yeah, it's been a while! Good to see you."
"Hi, how are you?","It's sunny and warm here, how about there?"
Good morning! How's your day?,"Work's been hectic, but I'm managing."
Good evening! Any weekend plans?,"Not yet, I'm still deciding what to do."
"Hey, long time no see!","Not much, just relaxing. How about you?"
"Hi, how's work going?","I'm doing great, thanks for asking!"
"Hi, what's new with you?","Yeah, it's been a while! Good to see you."
Good evening! Any weekend plans?,Yes! It was an intense match!
"Hi, how are you?","Yeah, it's been a while! Good to see you."
"Hi, how's the weather over there?","Not much, just the usual routine."
"Hello, did you catch the game last night?","Work's been hectic, but I'm managing."
"Hello, did you catch the game last night?","Yeah, it's been a while! Good to see you."
"Hi, how are you?","It's sunny and warm here, how about there?"
"Hey, what have you been up to?","Work's been hectic, but I'm managing."
"Hi, how's the weather over there?","Work's been hectic, but I'm managing."
"Hello, did you catch the game last night?","I've been busy with work, but all is good."
"Hi, what's new with you?","Not yet, I'm still deciding what to do."
Good morning! How's your day?,"Not much, just relaxing. How about you?"
"Hi, how's work going?","Work's been hectic, but I'm managing."
"Hey, long time no see!","Work's been hectic, but I'm managing."
"Hello, did you catch the game last night?","I've been busy with work, but all is good."
Good morning! How's your day?,"Yeah, it's been a while! Good to see you."
"Hello, did you catch the game last night?",Yes! It was an intense match!
"Hi, how are you?","I've been busy with work, but all is good."
"Hi, what's new with you?","Not much, just relaxing. How about you?"
"Hi, how's the weather over there?","Not much, just the usual routine."
"Hi, how's work going?","I've been busy with work, but all is good."
Hello! What's up?,Yes! It was an intense match!
"Hi, what's new with you?","I'm doing great, thanks for asking!"
"Hi, how's the weather over there?","Not yet, I'm still deciding what to do."
"Hey, long time no see!","I've been busy with work, but all is good."
"Hey, long time no see!","I'm doing great, thanks for asking!"
Good morning! How's your day?,"I've been busy with work, but all is good."
Good morning! How's your day?,"Work's been hectic, but I'm managing."
Hello! What's up?,"Not much, just relaxing. How about you?"
"Hey, long time no see!","I've been busy with work, but all is good."
"Hi, how's work going?","Not much, just the usual routine."
"Hi, what's new with you?","Yeah, it's been a while! Good to see you."
Good evening! Any weekend plans?,"I've been busy with work, but all is good."
Good evening! Any weekend plans?,"I'm doing great, thanks for asking!"
"Hi, how's work going?","Yeah, it's been a while! Good to see you."
"Hi, how's the weather over there?","I'm doing great, thanks for asking!"
"Hey, long time no see!","Not much, just the usual routine."
"Hey, long time no see!","My day has been pretty good, how about yours?"
Good morning! How's your day?,"My day has been pretty good, how about yours?"
Good evening! Any weekend plans?,"Not yet, I'm still deciding what to do."
"Hey, what have you been up to?","I've been busy with work, but all is good."
Good morning! How's your day?,"I've been busy with work, but all is good."
"Hey, what have you been up to?","Not much, just the usual routine."
Good morning! How's your day?,"Not yet, I'm still deciding what to do."
"Hey, long time no see!","I'm doing great, thanks for asking!"
"Hi, how's work going?","I'm doing great, thanks for asking!"
"Hi, how's the weather over there?","My day has been pretty good, how about yours?"
Good evening! Any weekend plans?,"Not much, just relaxing. How about you?"
Good evening! Any weekend plans?,"I've been busy with work, but all is good."
"Hi, how's the weather over there?","I'm doing great, thanks for asking!"
"Hi, how's the weather over there?","Work's been hectic, but I'm managing."
"Hi, how are you?","Not much, just the usual routine."
"Hi, how's the weather over there?","My day has been pretty good, how about yours?"
"Hi, how's work going?","My day has been pretty good, how about yours?"
"Hi, how are you?","My day has been pretty good, how about yours?"
"Hello, did you catch the game last night?",Yes! It was an intense match!
"Hi, how's the weather over there?","I've been busy with work, but all is good."
Hello! What's up?,"Not much, just the usual routine."
"Hi, how's the weather over there?","I'm doing great, thanks for asking!"
"Hi, what's new with you?","Not much, just relaxing. How about you?"
Good morning! How's your day?,"Yeah, it's been a while! Good to see you."
"Hi, how's the weather over there?","Not much, just relaxing. How about you?"
Hello! What's up?,Yes! It was an intense match!
Good morning! How's your day?,"I'm doing great, thanks for asking!"
"Hi, how's the weather over there?","Yeah, it's been a while! Good to see you."
Hello! What's up?,"Yeah, it's been a while! Good to see you."
"Hi, what's new with you?","Not much, just the usual routine."
"Hi, how's the weather over there?","I've been busy with work, but all is good."
"Hi, how are you?",Yes! It was an intense match!
Good evening! Any weekend plans?,"Yeah, it's been a while! Good to see you."
"Hi, what's new with you?","Yeah, it's been a while! Good to see you."
"Hey, long time no see!","Yeah, it's been a while! Good to see you."
"Hey, long time no see!","Yeah, it's been a while! Good to see you."
Good evening! Any weekend plans?,"I'm doing great, thanks for asking!"
"Hi, how are you?","I'm doing great, thanks for asking!"
Good morning! How's your day?,"Not yet, I'm still deciding what to do."
"Hey, what have you been up to?","I've been busy with work, but all is good."
Good evening! Any weekend plans?,Yes! It was an intense match!
